arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.16025372710302102,0.026939941446147583,0.33333333333333326,5.551115123125783e-17,0.3200000000000001,0.06679154969837958,,,,,,,,,,,,,,
random,0.32890287185568917,0.018358351937807816,0.3343419082556952,0.01745525078193063,0.33388888888888885,0.017295542849796185,,,,,,,,,,,,,,
logreg_price,0.3550477651887895,0.027887826552441188,0.3789236172909538,0.020027728097546358,0.42199999999999993,0.05108163401197472,0.5603218031621948,0.013374194741124265,,,,,,,,,,,,
logreg_price_sentiment,0.3680600168744907,0.025186408197780813,0.38796127317112894,0.018495618781379116,0.42799999999999994,0.04314574782705191,0.5571951384396847,0.017216684509660813,,,,,,,,,,,,
lstm_price,0.37971969824478435,0.028672430923621536,0.3915234951383306,0.019887239741801458,0.42999999999999994,0.045419852079932654,0.5720999694525761,0.02199766529199507,,,,,,,,,,,,
lstm_price_sentiment,0.3907292068024242,0.02811949596504159,0.39810396379082186,0.02382144972714877,0.4295555555555555,0.032452053902166746,0.5660133920137118,0.018612035293282408,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,0.013012251685701148,,0.009037655880175155,,0.006000000000000017,,,,0.00565550393428006,0.020368999437122236,-0.0009035457009565691,0.021229992183083215,0.003016087697528547,0.017183461935094613,-0.002722257978940805,0.01656083116184528,-0.001333333333333342,0.016333333333333356,-0.0036666666666666514,0.015333333333333313
DELTA lstm_price_sentiment__minus__lstm_price,0.01100950855763987,,0.006580468652491111,,-0.000444444444444414,,,,0.008550353771661268,0.012762115146400277,-0.004429676295488777,0.018190442005659488,0.0005097733219729062,0.010350422253347702,-0.007759007988084508,0.013279380682592332,-0.017222222222222194,0.009894444444444449,-0.010888888888888785,0.01000277777777777
