fold,train_size,validation_size,holdout_size,macro_f1,accuracy,balanced_accuracy,per_class_f1,per_class_precision,per_class_recall,support
1,1056,118,132,0.7909380324634562,0.8409090909090909,0.8171047391477501,"{0: 0.75, 1: 0.8926553672316384, 2: 0.7301587301587301}","{0: 0.75, 1: 0.9404761904761905, 2: 0.6388888888888888}","{0: 0.75, 1: 0.8494623655913979, 2: 0.8518518518518519}","{0: 12, 1: 93, 2: 27}"
2,1057,118,131,0.7537493158182813,0.8244274809160306,0.820317874081315,"{0: 0.6428571428571429, 1: 0.8850574712643678, 2: 0.7333333333333333}","{0: 0.5294117647058824, 1: 0.9506172839506173, 2: 0.6666666666666666}","{0: 0.8181818181818182, 1: 0.8279569892473119, 2: 0.8148148148148148}","{0: 11, 1: 93, 2: 27}"
3,1057,118,131,0.7162153386583544,0.8091603053435115,0.7604669887278583,"{0: 0.5517241379310345, 1: 0.8850574712643678, 2: 0.711864406779661}","{0: 0.47058823529411764, 1: 0.9390243902439024, 2: 0.65625}","{0: 0.6666666666666666, 1: 0.8369565217391305, 2: 0.7777777777777778}","{0: 12, 1: 92, 2: 27}"
4,1057,118,131,0.6878019323671497,0.7938931297709924,0.7049114331723026,"{0: 0.5217391304347826, 1: 0.875, 2: 0.6666666666666666}","{0: 0.5454545454545454, 1: 0.9166666666666666, 2: 0.5833333333333334}","{0: 0.5, 1: 0.8369565217391305, 2: 0.7777777777777778}","{0: 12, 1: 92, 2: 27}"
5,1057,118,131,0.7001173545592015,0.7938931297709924,0.7417976288944031,"{0: 0.5517241379310345, 1: 0.8700564971751412, 2: 0.6785714285714286}","{0: 0.47058823529411764, 1: 0.9166666666666666, 2: 0.6333333333333333}","{0: 0.6666666666666666, 1: 0.8279569892473119, 2: 0.7307692307692307}","{0: 12, 1: 93, 2: 26}"
