arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.16281487352761995,0.03812215472130525,0.33333333333333326,5.551115123125783e-17,0.3303333333333333,0.09522721366406887,,,,,,,,,,,,,,
random,0.32956307013341857,0.022973077564857485,0.33634739662551055,0.0220586890904903,0.3366666666666667,0.020593058880945155,,,,,,,,,,,,,,
logreg_price,0.3373519065540929,0.016265289643344692,0.3796086734874893,0.013963287252978341,0.42966666666666675,0.053969126977065955,0.5677006152822961,0.014099956096863308,,,,,,,,,,,,
logreg_price_sentiment,0.36081707260396617,0.009472401145365876,0.38533987922603913,0.011548321209472698,0.42733333333333345,0.044329573775427955,0.563958215209722,0.00902201924859155,,,,,,,,,,,,
lstm_price,0.3574878265369922,0.020399699117422076,0.3779929948453369,0.013643645871732044,0.42266666666666663,0.05405004539690422,0.5652620858803313,0.024108391349269252,,,,,,,,,,,,
lstm_price_sentiment,0.36582699098154975,0.023050776124541462,0.3716553369272713,0.024413602520206946,0.4053333333333333,0.04832068800098864,0.5551842384917496,0.01658498046982619,,,,,,,,,,,,
tft_price,0.363689720369887,0.016392138697011803,0.3728570247648007,0.014054890951136424,0.4104444444444445,0.053439015663293496,0.5535233363666874,0.011323674118324472,,,,,,,,,,,,
tft_price_sentiment,0.3509395431402035,0.03104280848458456,0.36014141192453303,0.02715473471966309,0.38899999999999996,0.042504030309990525,0.5492081430609462,0.025318302238367365,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,0.023465166049873153,,0.005731205738549705,,-0.002333333333333332,,,,0.015484161470397263,0.03146644516681048,0.009104822478491302,0.03835274677165903,-0.0015116750035841897,0.011183310078535702,-0.006425578998192209,0.018535803498710608,-0.011000000000000032,0.006333333333333369,-0.014333333333333321,0.010666666666666658
DELTA lstm_price_sentiment__minus__lstm_price,0.008339164444557668,,-0.006337657918065609,,-0.017333333333333357,,,,-0.009833497929977541,0.02478815082294794,-0.004417955228906485,0.02037952478115878,-0.01975376855237999,0.004516018624455176,-0.0181741578872678,0.004971974518063221,-0.03811111111111113,0.002444444444444427,-0.029888888888888923,-0.00466388888888889
DELTA tft_price_sentiment__minus__tft_price,-0.012750177229683534,,-0.012715612840267653,,-0.021444444444444412,,,,-0.041172796496706965,0.021424142389710722,-0.025781962357810363,0.0017373476393057739,-0.03747396432871356,0.012322949030296937,-0.02481033923007143,7.562990578454161e-05,-0.0444444444444444,0.008000000000000007,-0.033777777777777754,-0.007775000000000001
