window,seed,arm,stratum,n,macro_f1,balanced_accuracy,accuracy
1,42,majority,has_news,296,0.10124164278892073,0.3333333333333333,0.17905405405405406
1,42,majority,no_news,304,0.0892687559354226,0.3333333333333333,0.15460526315789475
1,43,majority,has_news,296,0.10124164278892073,0.3333333333333333,0.17905405405405406
1,43,majority,no_news,304,0.0892687559354226,0.3333333333333333,0.15460526315789475
1,44,majority,has_news,296,0.10124164278892073,0.3333333333333333,0.17905405405405406
1,44,majority,no_news,304,0.0892687559354226,0.3333333333333333,0.15460526315789475
1,42,random,has_news,296,0.30931986236181275,0.3174072877299952,0.3344594594594595
1,42,random,no_news,304,0.2718363084326488,0.2792792065350505,0.29276315789473684
1,43,random,has_news,296,0.3221287106709305,0.3377892355891485,0.34121621621621623
1,43,random,no_news,304,0.2912965790276327,0.3082935210231427,0.3059210526315789
1,44,random,has_news,296,0.2912569889477106,0.3080351414508961,0.30405405405405406
1,44,random,no_news,304,0.3438647669173405,0.37355385988758344,0.35526315789473684
1,42,logreg_price,has_news,296,0.3035502836086615,0.35540772793473735,0.5202702702702703
1,42,logreg_price,no_news,304,0.31534725706771183,0.37239470485059734,0.5098684210526315
1,43,logreg_price,has_news,296,0.3035502836086615,0.35540772793473735,0.5202702702702703
1,43,logreg_price,no_news,304,0.31534725706771183,0.37239470485059734,0.5098684210526315
1,44,logreg_price,has_news,296,0.3035502836086615,0.35540772793473735,0.5202702702702703
1,44,logreg_price,no_news,304,0.31534725706771183,0.37239470485059734,0.5098684210526315
1,42,logreg_price_sentiment,has_news,296,0.33844262936489306,0.3496841296824438,0.46959459459459457
1,42,logreg_price_sentiment,no_news,304,0.35406698564593303,0.40235778594210503,0.5296052631578947
1,43,logreg_price_sentiment,has_news,296,0.33844262936489306,0.3496841296824438,0.46959459459459457
1,43,logreg_price_sentiment,no_news,304,0.35406698564593303,0.40235778594210503,0.5296052631578947
1,44,logreg_price_sentiment,has_news,296,0.33844262936489306,0.3496841296824438,0.46959459459459457
1,44,logreg_price_sentiment,no_news,304,0.35406698564593303,0.40235778594210503,0.5296052631578947
1,42,lstm_price,has_news,296,0.3274634231387786,0.37113380819249125,0.5405405405405406
1,42,lstm_price,no_news,304,0.31088794956093535,0.3734278062632053,0.5131578947368421
