window,seed,arm,stratum,n,macro_f1,balanced_accuracy,accuracy
1,42,majority,has_news,290,0.11270296084049665,0.3333333333333333,0.20344827586206896
1,42,majority,no_news,310,0.10961365678346811,0.3333333333333333,0.1967741935483871
1,43,majority,has_news,290,0.11270296084049665,0.3333333333333333,0.20344827586206896
1,43,majority,no_news,310,0.10961365678346811,0.3333333333333333,0.1967741935483871
1,44,majority,has_news,290,0.11270296084049665,0.3333333333333333,0.20344827586206896
1,44,majority,no_news,310,0.10961365678346811,0.3333333333333333,0.1967741935483871
1,42,random,has_news,290,0.29746369113946736,0.3128883660580435,0.30344827586206896
1,42,random,no_news,310,0.32887934179463113,0.33746600692772416,0.35161290322580646
1,43,random,has_news,290,0.3093594348659004,0.3189223457471749,0.3275862068965517
1,43,random,no_news,310,0.31136050417841715,0.32263816482772584,0.3258064516129032
1,44,random,has_news,290,0.32248980131278154,0.33184714966248746,0.33793103448275863
1,44,random,no_news,310,0.32164021164021167,0.3433631797742092,0.32903225806451614
1,42,logreg_price,has_news,290,0.2792485797509688,0.32638794480312,0.46551724137931033
1,42,logreg_price,no_news,310,0.3227151325646538,0.3622166856260192,0.5161290322580645
1,43,logreg_price,has_news,290,0.2792485797509688,0.32638794480312,0.46551724137931033
1,43,logreg_price,no_news,310,0.3227151325646538,0.3622166856260192,0.5161290322580645
1,44,logreg_price,has_news,290,0.2792485797509688,0.32638794480312,0.46551724137931033
1,44,logreg_price,no_news,310,0.3227151325646538,0.3622166856260192,0.5161290322580645
1,42,logreg_price_sentiment,has_news,290,0.29509778401456394,0.3300280312551732,0.44482758620689655
1,42,logreg_price_sentiment,no_news,310,0.3361182099554192,0.37193713404378564,0.5258064516129032
1,43,logreg_price_sentiment,has_news,290,0.29509778401456394,0.3300280312551732,0.44482758620689655
1,43,logreg_price_sentiment,no_news,310,0.3361182099554192,0.37193713404378564,0.5258064516129032
1,44,logreg_price_sentiment,has_news,290,0.29509778401456394,0.3300280312551732,0.44482758620689655
1,44,logreg_price_sentiment,no_news,310,0.3361182099554192,0.37193713404378564,0.5258064516129032
1,42,lstm_price,has_news,290,0.2889443425424315,0.3349272583841752,0.47586206896551725
1,42,lstm_price,no_news,310,0.36776274684561444,0.38939602249067734,0.5290322580645161
1,43,lstm_price,has_news,290,0.33626414330610643,0.36140944221408994,0.4689655172413793
1,43,lstm_price,no_news,310,0.3677956030897207,0.38918781855783297,0.5129032258064516
1,44,lstm_price,has_news,290,0.29526109134270956,0.3438758042454728,0.4896551724137931
1,44,lstm_price,no_news,310,0.3561728395061728,0.3869813221298681,0.5387096774193548
1,42,lstm_price_sentiment,has_news,290,0.2854096981998086,0.32491702064102884,0.45517241379310347
1,42,lstm_price_sentiment,no_news,310,0.33475207972984106,0.36697280786848024,0.5129032258064516
1,43,lstm_price_sentiment,has_news,290,0.3180018993352327,0.3505035175479727,0.44482758620689655
