arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.16281487352761995,0.03812215472130525,0.33333333333333326,5.551115123125783e-17,0.3303333333333333,0.09522721366406887,,,,,,,,,,,,,,
random,0.32956307013341857,0.022973077564857485,0.33634739662551055,0.0220586890904903,0.3366666666666667,0.020593058880945155,,,,,,,,,,,,,,
logreg_price,0.3373519065540929,0.016265289643344692,0.3796086734874893,0.013963287252978341,0.42966666666666675,0.053969126977065955,0.5677006152822961,0.014099956096863308,,,,,,,,,,,,
logreg_price_sentiment,0.3534516627208547,0.01386197769153037,0.3843566051775455,0.009940612977916374,0.42866666666666664,0.0518480686450539,0.5662602595141366,0.013788496799439935,,,,,,,,,,,,
lstm_price,0.3574878265369922,0.020399699117422076,0.3779929948453369,0.013643645871732044,0.42266666666666663,0.05405004539690422,0.5652620858803313,0.024108391349269252,,,,,,,,,,,,
lstm_price_sentiment,0.36654510495214726,0.02585438232448961,0.3761635832888609,0.01962789461567011,0.4165555555555556,0.050256625384736374,0.5651973296887661,0.021003559376385598,,,,,,,,,,,,
tft_price,0.363689720369887,0.016392138697011803,0.3728570247648007,0.014054890951136424,0.4104444444444445,0.053439015663293496,0.5535233363666874,0.011323674118324472,,,,,,,,,,,,
tft_price_sentiment,0.3411282209189091,0.017169799270682042,0.3517999312249603,0.017466690055390883,0.3873333333333333,0.03966433233094009,0.5420859899921466,0.02069461181880051,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,0.016099756166761747,,0.004747931690056206,,-0.0010000000000000009,,,,0.004402906694940445,0.02813640421148238,0.0041332381092948995,0.02793703533728797,-0.0036366042351987592,0.015453937720263777,-0.004983918145649515,0.01476462956798123,-0.007999999999999997,0.007666666666666666,-0.010341666666666702,0.008333333333333349
DELTA lstm_price_sentiment__minus__lstm_price,0.00905727841515518,,-0.0018294115564760239,,-0.006111111111111134,,,,-0.00035748728888181926,0.018279300863468406,-0.00151890366908949,0.018741339647826753,-0.011162604695734435,0.0079695309891482,-0.010821736830389438,0.006845277685770358,-0.020111111111111146,0.008999999999999963,-0.01722222222222223,0.004558333333333318
DELTA tft_price_sentiment__minus__tft_price,-0.02256149945097786,,-0.02105709353984031,,-0.023111111111111103,,,,-0.039395858438305106,-0.005690202017908641,-0.03375118595595453,-0.010079443162524845,-0.037027937249752285,-0.003407355204811102,-0.031974194555064415,-0.009466304833035991,-0.04144444444444443,-0.0028888888888888853,-0.03555555555555555,-0.010775000000000003
