arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.16025372710302102,0.026939941446147583,0.33333333333333326,5.551115123125783e-17,0.3200000000000001,0.06679154969837958,,,,,,,,,,,,,,
random,0.32890287185568917,0.018358351937807816,0.3343419082556952,0.01745525078193063,0.33388888888888885,0.017295542849796185,,,,,,,,,,,,,,
logreg_price,0.3550477651887895,0.027887826552441188,0.3789236172909538,0.020027728097546358,0.42199999999999993,0.05108163401197472,0.5603218031621948,0.013374194741124265,,,,,,,,,,,,
logreg_price_sentiment,0.3550477651887895,0.027887826552441188,0.3789236172909538,0.020027728097546358,0.42199999999999993,0.05108163401197472,0.5603218031621948,0.013374194741124265,,,,,,,,,,,,
lstm_price,0.37971969824478435,0.028672430923621536,0.3915234951383306,0.019887239741801458,0.42999999999999994,0.045419852079932654,0.5720999694525761,0.02199766529199507,,,,,,,,,,,,
lstm_price_sentiment,0.38485615157577546,0.027040696172888616,0.39539277989009375,0.020547712599783812,0.4314444444444445,0.04019335981029088,0.5728251318001202,0.02192746721052622,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELTA lstm_price_sentiment__minus__lstm_price,0.005136453330991109,,0.003869284751763058,,0.0014444444444444704,,,,-0.0008354656531454286,0.011856024711704872,-0.0036589227079624046,0.008979824621661026,-0.0011294623568587237,0.009913973469247394,-0.0037944220087877166,0.008036151720350262,-0.006444444444444419,0.00977777777777783,-0.004447222222222249,0.00733611111111112
