arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.16025372710302102,0.026939941446147583,0.33333333333333326,5.551115123125783e-17,0.3200000000000001,0.06679154969837958,,,,,,,,,,,,,,
random,0.32890287185568917,0.018358351937807816,0.3343419082556952,0.01745525078193063,0.33388888888888885,0.017295542849796185,,,,,,,,,,,,,,
logreg_price,0.3550477651887895,0.027887826552441188,0.3789236172909538,0.020027728097546358,0.42199999999999993,0.05108163401197472,0.5603218031621948,0.013374194741124265,,,,,,,,,,,,
logreg_price_sentiment,0.365717171877916,0.027708709948437202,0.3855726114896885,0.021448200724032317,0.4256666666666667,0.04555338748228401,0.5612153121736483,0.01541915413278623,,,,,,,,,,,,
lstm_price,0.37971969824478435,0.028672430923621536,0.3915234951383306,0.019887239741801458,0.42999999999999994,0.045419852079932654,0.5720999694525761,0.02199766529199507,,,,,,,,,,,,
lstm_price_sentiment,0.38411359361640224,0.031764818880238015,0.3953795592868226,0.02139630127314785,0.432,0.04069853032199529,0.5725385933262892,0.02092338592558886,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,0.010669406689126425,,0.006648994198734737,,0.003666666666666685,,,,0.004079203847299717,0.017240543859268022,-9.081909668874619e-05,0.016635288186654714,0.0007096826220466257,0.01388390339741733,-0.0023960905244510347,0.012428284486676381,-0.0043333333333333115,0.013000000000000045,-0.0036666666666666514,0.01100000000000001
DELTA lstm_price_sentiment__minus__lstm_price,0.004393895371617718,,0.0038560641484919555,,0.0020000000000000018,,,,-0.0008747390722786186,0.008248215620464438,-0.002902685801886232,0.013977814006996611,0.000650128016937257,0.0062335821443365354,-0.004634416853376852,0.011447597998499209,-0.0028888888888888966,0.007222222222222208,-0.005777777777777715,0.009777777777777776
