input_variant,truncation_strategy,data_size,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std
context,tail,306,0.26666666666666666,0.0029229646764703026,0.6667371760973031,0.012061286816762478,0.3333333333333333,0.0
title_context,tail,306,0.26666666666666666,0.0029229646764703026,0.6667371760973031,0.012061286816762478,0.3333333333333333,0.0
context,head,306,0.26666666666666666,0.0029229646764703026,0.6667371760973031,0.012061286816762478,0.3333333333333333,0.0
title_context,head,306,0.26666666666666666,0.0029229646764703026,0.6667371760973031,0.012061286816762478,0.3333333333333333,0.0
context,head_tail,306,0.26666666666666666,0.0029229646764703026,0.6667371760973031,0.012061286816762478,0.3333333333333333,0.0
title_context,head_tail,306,0.26666666666666666,0.0029229646764703026,0.6667371760973031,0.012061286816762478,0.3333333333333333,0.0
title,head,301,0.2653333333333333,0.002981423969999714,0.6612021857923496,0.012218950696720125,0.3333333333333333,0.0
title,tail,301,0.2653333333333333,0.002981423969999714,0.6612021857923496,0.012218950696720125,0.3333333333333333,0.0
title,head_tail,301,0.2653333333333333,0.002981423969999714,0.6612021857923496,0.012218950696720125,0.3333333333333333,0.0
