fold,train_size,validation_size,holdout_size,macro_f1,accuracy,balanced_accuracy,per_class_f1,per_class_precision,per_class_recall,support
1,219,25,62,0.26143790849673204,0.6451612903225806,0.3333333333333333,"{0: 0.0, 1: 0.7843137254901961, 2: 0.0}","{0: 0.0, 1: 0.6451612903225806, 2: 0.0}","{0: 0.0, 1: 1.0, 2: 0.0}","{0: 7, 1: 40, 2: 15}"
2,220,25,61,0.2679738562091503,0.6721311475409836,0.3333333333333333,"{0: 0.0, 1: 0.803921568627451, 2: 0.0}","{0: 0.0, 1: 0.6721311475409836, 2: 0.0}","{0: 0.0, 1: 1.0, 2: 0.0}","{0: 6, 1: 41, 2: 14}"
3,220,25,61,0.2679738562091503,0.6721311475409836,0.3333333333333333,"{0: 0.0, 1: 0.803921568627451, 2: 0.0}","{0: 0.0, 1: 0.6721311475409836, 2: 0.0}","{0: 0.0, 1: 1.0, 2: 0.0}","{0: 6, 1: 41, 2: 14}"
4,220,25,61,0.2679738562091503,0.6721311475409836,0.3333333333333333,"{0: 0.0, 1: 0.803921568627451, 2: 0.0}","{0: 0.0, 1: 0.6721311475409836, 2: 0.0}","{0: 0.0, 1: 1.0, 2: 0.0}","{0: 6, 1: 41, 2: 14}"
5,220,25,61,0.2679738562091503,0.6721311475409836,0.3333333333333333,"{0: 0.0, 1: 0.803921568627451, 2: 0.0}","{0: 0.0, 1: 0.6721311475409836, 2: 0.0}","{0: 0.0, 1: 1.0, 2: 0.0}","{0: 6, 1: 41, 2: 14}"
