fold,train_size,validation_size,holdout_size,macro_f1,accuracy,balanced_accuracy,per_class_f1,per_class_precision,per_class_recall,support
1,216,24,61,0.26,0.639344262295082,0.3333333333333333,"{0: 0.0, 1: 0.78, 2: 0.0}","{0: 0.0, 1: 0.639344262295082, 2: 0.0}","{0: 0.0, 1: 1.0, 2: 0.0}","{0: 7, 1: 39, 2: 15}"
2,216,25,60,0.26666666666666666,0.6666666666666666,0.3333333333333333,"{0: 0.0, 1: 0.8, 2: 0.0}","{0: 0.0, 1: 0.6666666666666666, 2: 0.0}","{0: 0.0, 1: 1.0, 2: 0.0}","{0: 6, 1: 40, 2: 14}"
3,216,25,60,0.26666666666666666,0.6666666666666666,0.3333333333333333,"{0: 0.0, 1: 0.8, 2: 0.0}","{0: 0.0, 1: 0.6666666666666666, 2: 0.0}","{0: 0.0, 1: 1.0, 2: 0.0}","{0: 6, 1: 40, 2: 14}"
4,216,25,60,0.26666666666666666,0.6666666666666666,0.3333333333333333,"{0: 0.0, 1: 0.8, 2: 0.0}","{0: 0.0, 1: 0.6666666666666666, 2: 0.0}","{0: 0.0, 1: 1.0, 2: 0.0}","{0: 6, 1: 40, 2: 14}"
5,216,25,60,0.26666666666666666,0.6666666666666666,0.3333333333333333,"{0: 0.0, 1: 0.8, 2: 0.0}","{0: 0.0, 1: 0.6666666666666666, 2: 0.0}","{0: 0.0, 1: 1.0, 2: 0.0}","{0: 6, 1: 40, 2: 14}"
